# slug	dex	name	types   (generated by update-pokedex.sh; local, no runtime network)
bulbasaur	1	Bulbasaur	grass,poison
ivysaur	2	Ivysaur	grass,poison
venusaur	3	Venusaur	grass,poison
charmander	4	Charmander	fire
charmeleon	5	Charmeleon	fire
charizard	6	Charizard	fire,flying
squirtle	7	Squirtle	water
wartortle	8	Wartortle	water
blastoise	9	Blastoise	water
caterpie	10	Caterpie	bug
metapod	11	Metapod	bug
butterfree	12	Butterfree	bug,flying
weedle	13	Weedle	bug,poison
kakuna	14	Kakuna	bug,poison
beedrill	15	Beedrill	bug,poison
pidgey	16	Pidgey	normal,flying
pidgeotto	17	Pidgeotto	normal,flying
pidgeot	18	Pidgeot	normal,flying
rattata	19	Rattata	normal
raticate	20	Raticate	normal
spearow	21	Spearow	normal,flying
fearow	22	Fearow	normal,flying
ekans	23	Ekans	poison
arbok	24	Arbok	poison
pikachu	25	Pikachu	electric
raichu	26	Raichu	electric
sandshrew	27	Sandshrew	ground
sandslash	28	Sandslash	ground
nidoran-m	29	Nidoran-M	poison
nidorina	30	Nidorina	poison
nidoqueen	31	Nidoqueen	poison,ground
nidoran-f	32	Nidoran-F	poison
nidorino	33	Nidorino	poison
nidoking	34	Nidoking	poison,ground
clefairy	35	Clefairy	fairy
clefable	36	Clefable	fairy
vulpix	37	Vulpix	fire
ninetales	38	Ninetales	fire
jigglypuff	39	Jigglypuff	normal,fairy
wigglytuff	40	Wigglytuff	normal,fairy
zubat	41	Zubat	poison,flying
golbat	42	Golbat	poison,flying
oddish	43	Oddish	grass,poison
gloom	44	Gloom	grass,poison
vileplume	45	Vileplume	grass,poison
paras	46	Paras	bug,grass
parasect	47	Parasect	bug,grass
venonat	48	Venonat	bug,poison
venomoth	49	Venomoth	bug,poison
diglett	50	Diglett	ground
dugtrio	51	Dugtrio	ground
meowth	52	Meowth	normal
persian	53	Persian	normal
psyduck	54	Psyduck	water
golduck	55	Golduck	water
mankey	56	Mankey	fighting
primeape	57	Primeape	fighting
growlithe	58	Growlithe	fire
arcanine	59	Arcanine	fire
poliwag	60	Poliwag	water
poliwhirl	61	Poliwhirl	water
poliwrath	62	Poliwrath	water,fighting
abra	63	Abra	psychic
kadabra	64	Kadabra	psychic
alakazam	65	Alakazam	psychic
machop	66	Machop	fighting
machoke	67	Machoke	fighting
machamp	68	Machamp	fighting
bellsprout	69	Bellsprout	grass,poison
weepinbell	70	Weepinbell	grass,poison
victreebel	71	Victreebel	grass,poison
tentacool	72	Tentacool	water,poison
tentacruel	73	Tentacruel	water,poison
geodude	74	Geodude	rock,ground
graveler	75	Graveler	rock,ground
golem	76	Golem	rock,ground
ponyta	77	Ponyta	fire
rapidash	78	Rapidash	fire
slowpoke	79	Slowpoke	water,psychic
slowbro	80	Slowbro	water,psychic
magnemite	81	Magnemite	electric,steel
magneton	82	Magneton	electric,steel
farfetchd	83	Farfetch'd	normal,flying
doduo	84	Doduo	normal,flying
dodrio	85	Dodrio	normal,flying
seel	86	Seel	water
dewgong	87	Dewgong	water,ice
grimer	88	Grimer	poison
muk	89	Muk	poison
shellder	90	Shellder	water
cloyster	91	Cloyster	water,ice
gastly	92	Gastly	ghost,poison
haunter	93	Haunter	ghost,poison
gengar	94	Gengar	ghost,poison
onix	95	Onix	rock,ground
drowzee	96	Drowzee	psychic
hypno	97	Hypno	psychic
krabby	98	Krabby	water
kingler	99	Kingler	water
voltorb	100	Voltorb	electric
electrode	101	Electrode	electric
exeggcute	102	Exeggcute	grass,psychic
exeggutor	103	Exeggutor	grass,psychic
cubone	104	Cubone	ground
marowak	105	Marowak	ground
hitmonlee	106	Hitmonlee	fighting
hitmonchan	107	Hitmonchan	fighting
lickitung	108	Lickitung	normal
koffing	109	Koffing	poison
weezing	110	Weezing	poison
